%ARFF automatically created from Dataset

@RELATION test
@ATTRIBUTE largestspotsize {K,A,X,R,S}
@ATTRIBUTE spotdistribution {I,X,O,C}
@ATTRIBUTE activity {1,2}
@ATTRIBUTE evolution {2,3,1}
@ATTRIBUTE previous24hourflareactivitycode {1,3}
@ATTRIBUTE historicallycomplex {2,1}
@ATTRIBUTE didregionbecomehistoricallycomplex {2,1}
@ATTRIBUTE area {1}
@ATTRIBUTE areaofthelargestspot {2,1}
@ATTRIBUTE cclassflaresproductionbythisregion {1,0,2}
@ATTRIBUTE mclassflaresproductionbythisregion {1,0,4}
@ATTRIBUTE xclassflaresproductionbythisregion {0,1}
@ATTRIBUTE class {F,E,H,B,D,C}

@DATA
K,I,1,2,1,2,2,1,2,1,1,0,F
K,I,1,3,1,1,2,1,2,0,0,0,E
A,X,1,3,1,2,2,1,2,0,1,1,H
X,O,1,3,1,1,2,1,1,0,0,0,B
A,X,1,3,1,1,2,1,2,0,0,0,H
R,X,1,2,1,1,2,1,2,0,0,0,H
R,X,1,2,1,1,1,1,1,0,0,0,H
A,I,2,2,3,1,2,1,2,0,0,0,D
S,O,1,2,1,1,2,1,2,0,0,0,C
S,O,1,2,1,2,2,1,2,0,0,0,C
A,I,1,3,1,1,2,1,2,0,0,0,C
X,O,1,3,1,1,2,1,1,0,0,0,B
S,X,1,3,1,2,2,1,2,0,0,0,H
A,I,1,3,1,1,2,1,2,0,0,0,D
S,X,2,2,3,1,2,1,2,0,0,0,H
S,X,1,3,1,1,2,1,2,0,0,0,H
S,O,1,3,1,2,2,1,2,0,0,0,D
K,C,1,3,1,2,2,1,2,0,1,1,D
S,O,1,1,1,2,2,1,2,0,0,0,C
S,O,1,3,1,2,2,1,2,0,0,0,D
S,X,1,2,1,1,1,1,2,0,0,0,H
S,I,2,3,3,1,2,1,1,0,1,0,C
X,O,1,2,1,1,2,1,1,0,0,0,B
S,O,1,1,3,2,2,1,2,0,0,0,C
A,X,1,3,1,1,1,1,2,2,0,0,H
X,O,1,3,1,1,2,1,2,0,0,0,B
K,I,1,3,1,1,2,1,1,0,0,0,C
K,I,1,3,1,2,2,1,2,2,4,0,C
K,I,1,3,1,1,2,1,2,0,0,0,D
A,X,1,3,1,1,1,1,2,0,0,0,H
S,X,1,3,1,1,1,1,2,0,0,0,H
K,I,1,3,1,2,2,1,2,0,1,0,D
S,O,1,3,1,1,2,1,2,0,1,0,C
