%ARFF automatically created from Dataset

@RELATION test
@ATTRIBUTE largestspotsize {K,A,X,S,R,H}
@ATTRIBUTE spotdistribution {I,O,X,C}
@ATTRIBUTE activity {2,1}
@ATTRIBUTE evolution {3,2,1}
@ATTRIBUTE previous24hourflareactivitycode {1,2,3}
@ATTRIBUTE historicallycomplex {2,1}
@ATTRIBUTE didregionbecomehistoricallycomplex {2,1}
@ATTRIBUTE area {2,1}
@ATTRIBUTE areaofthelargestspot {1}
@ATTRIBUTE cclassflaresproductionbythisregion {1,0,2,3}
@ATTRIBUTE mclassflaresproductionbythisregion {0,5,2,1}
@ATTRIBUTE xclassflaresproductionbythisregion {0,1}
@ATTRIBUTE class {E,F,B,D,C,H}

@DATA
K,I,2,3,1,2,2,2,1,1,0,0,E
A,I,2,2,1,2,2,1,1,0,0,0,F
X,O,1,1,1,1,2,1,1,0,0,0,B
K,I,2,2,1,2,2,1,1,0,0,0,D
S,O,1,2,1,2,2,1,1,1,0,0,C
R,I,1,3,1,1,2,1,1,1,0,0,D
R,I,1,2,1,2,2,1,1,0,0,0,D
S,O,1,2,1,1,2,1,1,0,0,0,C
X,O,1,2,1,1,2,1,1,0,0,0,B
S,O,2,3,2,1,2,1,1,1,0,0,D
S,I,1,3,1,1,2,1,1,0,0,0,E
S,X,1,3,1,1,2,1,1,0,0,0,H
S,X,1,2,1,1,1,1,1,0,0,0,H
R,X,1,2,1,1,2,1,1,0,0,0,H
R,O,1,3,1,1,2,1,1,0,0,0,C
R,O,1,3,1,1,2,1,1,0,0,0,C
X,O,1,3,1,1,2,1,1,0,0,0,B
S,X,1,2,1,1,2,1,1,0,0,0,H
A,O,1,3,1,2,2,1,1,0,0,0,C
S,X,1,3,1,1,1,1,1,0,0,0,H
K,C,2,3,3,2,2,2,1,0,5,1,E
K,C,2,2,3,2,2,2,1,2,2,0,E
S,O,2,3,3,1,2,1,1,0,1,0,C
S,O,1,2,1,2,2,1,1,0,0,0,C
S,I,2,2,1,2,2,1,1,3,0,0,E
R,X,1,2,1,1,1,1,1,0,0,0,H
X,O,1,3,1,1,2,1,1,1,0,0,B
X,O,1,1,1,2,2,1,1,0,0,0,B
R,X,1,2,1,1,2,1,1,0,0,0,H
R,O,1,1,1,1,2,1,1,0,0,0,C
S,X,1,2,1,1,1,1,1,0,0,0,H
S,X,1,2,1,2,1,1,1,0,0,0,H
S,O,1,1,1,2,2,1,1,0,0,0,F
S,X,1,3,1,1,2,1,1,0,0,0,H
R,O,1,3,1,1,2,1,1,0,0,0,C
S,X,1,1,1,1,2,1,1,0,0,0,H
A,X,1,2,1,1,1,1,1,1,0,0,H
